Category: All categories

Week,Covid: (Colorado)
2020-03-01,6
2020-03-08,29
2020-03-15,63
2020-03-22,68
2020-03-29,63
2020-04-05,59
2020-04-12,45
2020-04-19,45
2020-04-26,40
2020-05-03,39
2020-05-10,39
2020-05-17,35
2020-05-24,32
2020-05-31,26
2020-06-07,30
2020-06-14,31
2020-06-21,40
2020-06-28,46
2020-07-05,46
2020-07-12,54
2020-07-19,48
2020-07-26,45
2020-08-02,40
2020-08-09,34
2020-08-16,33
2020-08-23,27
2020-08-30,30
2020-09-06,25
2020-09-13,28
2020-09-20,30
2020-09-27,39
2020-10-04,40
2020-10-11,39
2020-10-18,43
2020-10-25,58
2020-11-01,51
2020-11-08,75
2020-11-15,100
2020-11-22,74
2020-11-29,60
2020-12-06,59
2020-12-13,52
2020-12-20,48
2020-12-27,59
2021-01-03,51
2021-01-10,47
2021-01-17,44
2021-01-24,47
2021-01-31,48
2021-02-07,45
2021-02-14,41
2021-02-21,42
