Category: All categories

Week,Covid: (Connecticut)
2020-03-01,5
2020-03-08,27
2020-03-15,59
2020-03-22,67
2020-03-29,69
2020-04-05,61
2020-04-12,54
2020-04-19,51
2020-04-26,46
2020-05-03,45
2020-05-10,43
2020-05-17,39
2020-05-24,36
2020-05-31,31
2020-06-07,35
2020-06-14,36
2020-06-21,47
2020-06-28,48
2020-07-05,52
2020-07-12,52
2020-07-19,54
2020-07-26,54
2020-08-02,46
2020-08-09,47
2020-08-16,47
2020-08-23,40
2020-08-30,41
2020-09-06,43
2020-09-13,38
2020-09-20,40
2020-09-27,53
2020-10-04,56
2020-10-11,49
2020-10-18,55
2020-10-25,68
2020-11-01,58
2020-11-08,85
2020-11-15,100
2020-11-22,70
2020-11-29,68
2020-12-06,74
2020-12-13,71
2020-12-20,73
2020-12-27,71
2021-01-03,68
2021-01-10,86
2021-01-17,72
2021-01-24,67
2021-01-31,57
2021-02-07,68
2021-02-14,57
2021-02-21,69
