Category: All categories

Week,Covid: (Delaware)
2020-03-01,4
2020-03-08,18
2020-03-15,59
2020-03-22,60
2020-03-29,73
2020-04-05,65
2020-04-12,53
2020-04-19,44
2020-04-26,48
2020-05-03,39
2020-05-10,42
2020-05-17,37
2020-05-24,29
2020-05-31,28
2020-06-07,32
2020-06-14,29
2020-06-21,38
2020-06-28,57
2020-07-05,53
2020-07-12,61
2020-07-19,52
2020-07-26,55
2020-08-02,40
2020-08-09,42
2020-08-16,37
2020-08-23,38
2020-08-30,41
2020-09-06,37
2020-09-13,28
2020-09-20,37
2020-09-27,41
2020-10-04,47
2020-10-11,35
2020-10-18,37
2020-10-25,39
2020-11-01,34
2020-11-08,61
2020-11-15,100
2020-11-22,68
2020-11-29,77
2020-12-06,81
2020-12-13,72
2020-12-20,68
2020-12-27,72
2021-01-03,65
2021-01-10,75
2021-01-17,84
2021-01-24,87
2021-01-31,65
2021-02-07,66
2021-02-14,59
2021-02-21,73
