Category: All categories

Week,Covid: (District of Columbia)
2020-03-01,10
2020-03-08,42
2020-03-15,74
2020-03-22,82
2020-03-29,93
2020-04-05,93
2020-04-12,80
2020-04-19,80
2020-04-26,70
2020-05-03,68
2020-05-10,67
2020-05-17,66
2020-05-24,56
2020-05-31,52
2020-06-07,59
2020-06-14,65
2020-06-21,65
2020-06-28,76
2020-07-05,68
2020-07-12,82
2020-07-19,81
2020-07-26,81
2020-08-02,72
2020-08-09,61
2020-08-16,59
2020-08-23,55
2020-08-30,54
2020-09-06,61
2020-09-13,52
2020-09-20,49
2020-09-27,64
2020-10-04,71
2020-10-11,52
2020-10-18,58
2020-10-25,65
2020-11-01,49
2020-11-08,75
2020-11-15,100
2020-11-22,85
2020-11-29,72
2020-12-06,81
2020-12-13,88
2020-12-20,80
2020-12-27,75
2021-01-03,79
2021-01-10,86
2021-01-17,84
2021-01-24,83
2021-01-31,66
2021-02-07,69
2021-02-14,77
2021-02-21,82
