Category: All categories

Week,Covid: (Florida)
2020-03-01,5
2020-03-08,22
2020-03-15,64
2020-03-22,82
2020-03-29,84
2020-04-05,80
2020-04-12,61
2020-04-19,54
2020-04-26,49
2020-05-03,46
2020-05-10,47
2020-05-17,42
2020-05-24,39
2020-05-31,32
2020-06-07,39
2020-06-14,58
2020-06-21,94
2020-06-28,99
2020-07-05,96
2020-07-12,95
2020-07-19,75
2020-07-26,68
2020-08-02,58
2020-08-09,52
2020-08-16,46
2020-08-23,42
2020-08-30,42
2020-09-06,39
2020-09-13,35
2020-09-20,38
2020-09-27,48
2020-10-04,46
2020-10-11,42
2020-10-18,43
2020-10-25,46
2020-11-01,39
2020-11-08,53
2020-11-15,74
2020-11-22,66
2020-11-29,60
2020-12-06,65
2020-12-13,75
2020-12-20,74
2020-12-27,92
2021-01-03,100
2021-01-10,94
2021-01-17,93
2021-01-24,88
2021-01-31,75
2021-02-07,74
2021-02-14,64
2021-02-21,67
