Category: All categories

Week,Covid: (Georgia)
2020-03-01,6
2020-03-08,26
2020-03-15,68
2020-03-22,92
2020-03-29,98
2020-04-05,82
2020-04-12,60
2020-04-19,59
2020-04-26,55
2020-05-03,51
2020-05-10,49
2020-05-17,45
2020-05-24,44
2020-05-31,36
2020-06-07,38
2020-06-14,48
2020-06-21,72
2020-06-28,87
2020-07-05,95
2020-07-12,94
2020-07-19,76
2020-07-26,73
2020-08-02,65
2020-08-09,59
2020-08-16,52
2020-08-23,46
2020-08-30,49
2020-09-06,40
2020-09-13,37
2020-09-20,32
2020-09-27,42
2020-10-04,43
2020-10-11,38
2020-10-18,40
2020-10-25,41
2020-11-01,32
2020-11-08,48
2020-11-15,68
2020-11-22,59
2020-11-29,60
2020-12-06,69
2020-12-13,81
2020-12-20,85
2020-12-27,93
2021-01-03,91
2021-01-10,100
2021-01-17,91
2021-01-24,82
2021-01-31,70
2021-02-07,61
2021-02-14,53
2021-02-21,55
