Category: All categories

Week,Covid: (Idaho)
2020-03-01,5
2020-03-08,28
2020-03-15,85
2020-03-22,100
2020-03-29,98
2020-04-05,83
2020-04-12,61
2020-04-19,51
2020-04-26,46
2020-05-03,42
2020-05-10,44
2020-05-17,38
2020-05-24,40
2020-05-31,33
2020-06-07,36
2020-06-14,46
2020-06-21,72
2020-06-28,76
2020-07-05,71
2020-07-12,79
2020-07-19,72
2020-07-26,72
2020-08-02,67
2020-08-09,57
2020-08-16,50
2020-08-23,45
2020-08-30,46
2020-09-06,41
2020-09-13,39
2020-09-20,42
2020-09-27,60
2020-10-04,57
2020-10-11,47
2020-10-18,53
2020-10-25,63
2020-11-01,43
2020-11-08,69
2020-11-15,88
2020-11-22,67
2020-11-29,68
2020-12-06,69
2020-12-13,66
2020-12-20,59
2020-12-27,59
2021-01-03,51
2021-01-10,56
2021-01-17,60
2021-01-24,62
2021-01-31,59
2021-02-07,51
2021-02-14,49
2021-02-21,39
