Category: All categories

Week,Covid: (Illinois)
2020-03-01,5
2020-03-08,27
2020-03-15,72
2020-03-22,81
2020-03-29,88
2020-04-05,77
2020-04-12,62
2020-04-19,61
2020-04-26,54
2020-05-03,55
2020-05-10,55
2020-05-17,46
2020-05-24,43
2020-05-31,32
2020-06-07,34
2020-06-14,40
2020-06-21,49
2020-06-28,58
2020-07-05,62
2020-07-12,69
2020-07-19,59
2020-07-26,66
2020-08-02,58
2020-08-09,54
2020-08-16,50
2020-08-23,47
2020-08-30,46
2020-09-06,40
2020-09-13,37
2020-09-20,37
2020-09-27,50
2020-10-04,49
2020-10-11,50
2020-10-18,62
2020-10-25,75
2020-11-01,62
2020-11-08,94
2020-11-15,100
2020-11-22,68
2020-11-29,63
2020-12-06,63
2020-12-13,63
2020-12-20,60
2020-12-27,59
2021-01-03,58
2021-01-10,61
2021-01-17,65
2021-01-24,71
2021-01-31,65
2021-02-07,64
2021-02-14,53
2021-02-21,59
