Category: All categories

Week,Covid: (Indiana)
2020-03-01,3
2020-03-08,25
2020-03-15,65
2020-03-22,80
2020-03-29,84
2020-04-05,68
2020-04-12,54
2020-04-19,49
2020-04-26,48
2020-05-03,44
2020-05-10,40
2020-05-17,39
2020-05-24,33
2020-05-31,26
2020-06-07,28
2020-06-14,33
2020-06-21,42
2020-06-28,47
2020-07-05,56
2020-07-12,66
2020-07-19,63
2020-07-26,60
2020-08-02,51
2020-08-09,50
2020-08-16,45
2020-08-23,40
2020-08-30,43
2020-09-06,34
2020-09-13,30
2020-09-20,29
2020-09-27,39
2020-10-04,44
2020-10-11,45
2020-10-18,47
2020-10-25,56
2020-11-01,49
2020-11-08,87
2020-11-15,100
2020-11-22,68
2020-11-29,68
2020-12-06,74
2020-12-13,71
2020-12-20,65
2020-12-27,62
2021-01-03,60
2021-01-10,66
2021-01-17,54
2021-01-24,53
2021-01-31,48
2021-02-07,43
2021-02-14,33
2021-02-21,46
