Category: All categories

Week,Covid: (Iowa)
2020-03-01,4
2020-03-08,24
2020-03-15,78
2020-03-22,95
2020-03-29,96
2020-04-05,83
2020-04-12,71
2020-04-19,67
2020-04-26,63
2020-05-03,59
2020-05-10,57
2020-05-17,49
2020-05-24,42
2020-05-31,36
2020-06-07,36
2020-06-14,41
2020-06-21,50
2020-06-28,60
2020-07-05,60
2020-07-12,67
2020-07-19,58
2020-07-26,59
2020-08-02,50
2020-08-09,44
2020-08-16,50
2020-08-23,58
2020-08-30,62
2020-09-06,42
2020-09-13,41
2020-09-20,42
2020-09-27,50
2020-10-04,47
2020-10-11,42
2020-10-18,46
2020-10-25,59
2020-11-01,60
2020-11-08,100
2020-11-15,97
2020-11-22,62
2020-11-29,59
2020-12-06,52
2020-12-13,54
2020-12-20,50
2020-12-27,49
2021-01-03,48
2021-01-10,53
2021-01-17,49
2021-01-24,54
2021-01-31,58
2021-02-07,53
2021-02-14,47
2021-02-21,46
