Category: All categories

Week,Covid: (Kansas)
2020-03-01,4
2020-03-08,24
2020-03-15,76
2020-03-22,85
2020-03-29,83
2020-04-05,76
2020-04-12,58
2020-04-19,50
2020-04-26,51
2020-05-03,46
2020-05-10,48
2020-05-17,41
2020-05-24,38
2020-05-31,33
2020-06-07,33
2020-06-14,38
2020-06-21,59
2020-06-28,68
2020-07-05,74
2020-07-12,74
2020-07-19,63
2020-07-26,60
2020-08-02,55
2020-08-09,50
2020-08-16,51
2020-08-23,45
2020-08-30,46
2020-09-06,35
2020-09-13,36
2020-09-20,39
2020-09-27,44
2020-10-04,50
2020-10-11,39
2020-10-18,37
2020-10-25,43
2020-11-01,51
2020-11-08,83
2020-11-15,100
2020-11-22,69
2020-11-29,63
2020-12-06,65
2020-12-13,65
2020-12-20,62
2020-12-27,58
2021-01-03,57
2021-01-10,57
2021-01-17,54
2021-01-24,57
2021-01-31,55
2021-02-07,47
2021-02-14,44
2021-02-21,46
