Category: All categories

Week,Covid: (Kentucky)
2020-03-01,3
2020-03-08,23
2020-03-15,65
2020-03-22,82
2020-03-29,86
2020-04-05,70
2020-04-12,53
2020-04-19,50
2020-04-26,48
2020-05-03,44
2020-05-10,45
2020-05-17,41
2020-05-24,37
2020-05-31,32
2020-06-07,33
2020-06-14,36
2020-06-21,45
2020-06-28,51
2020-07-05,65
2020-07-12,73
2020-07-19,70
2020-07-26,67
2020-08-02,55
2020-08-09,56
2020-08-16,46
2020-08-23,40
2020-08-30,46
2020-09-06,39
2020-09-13,36
2020-09-20,32
2020-09-27,43
2020-10-04,50
2020-10-11,45
2020-10-18,52
2020-10-25,64
2020-11-01,49
2020-11-08,66
2020-11-15,100
2020-11-22,70
2020-11-29,66
2020-12-06,66
2020-12-13,67
2020-12-20,61
2020-12-27,69
2021-01-03,68
2021-01-10,66
2021-01-17,63
2021-01-24,66
2021-01-31,66
2021-02-07,50
2021-02-14,43
2021-02-21,61
