Category: All categories

Week,Covid: (Louisiana)
2020-03-01,3
2020-03-08,24
2020-03-15,79
2020-03-22,100
2020-03-29,98
2020-04-05,80
2020-04-12,58
2020-04-19,48
2020-04-26,46
2020-05-03,43
2020-05-10,40
2020-05-17,40
2020-05-24,36
2020-05-31,29
2020-06-07,27
2020-06-14,41
2020-06-21,64
2020-06-28,79
2020-07-05,80
2020-07-12,80
2020-07-19,65
2020-07-26,63
2020-08-02,56
2020-08-09,50
2020-08-16,43
2020-08-23,31
2020-08-30,36
2020-09-06,33
2020-09-13,27
2020-09-20,28
2020-09-27,39
2020-10-04,33
2020-10-11,29
2020-10-18,34
2020-10-25,31
2020-11-01,26
2020-11-08,45
2020-11-15,68
2020-11-22,55
2020-11-29,58
2020-12-06,58
2020-12-13,69
2020-12-20,66
2020-12-27,75
2021-01-03,84
2021-01-10,66
2021-01-17,61
2021-01-24,63
2021-01-31,62
2021-02-07,53
2021-02-14,31
2021-02-21,48
