Category: All categories

Week,Covid: (Maine)
2020-03-01,4
2020-03-08,32
2020-03-15,82
2020-03-22,93
2020-03-29,91
2020-04-05,78
2020-04-12,60
2020-04-19,58
2020-04-26,52
2020-05-03,58
2020-05-10,53
2020-05-17,51
2020-05-24,45
2020-05-31,41
2020-06-07,40
2020-06-14,41
2020-06-21,51
2020-06-28,58
2020-07-05,58
2020-07-12,60
2020-07-19,63
2020-07-26,60
2020-08-02,63
2020-08-09,48
2020-08-16,56
2020-08-23,50
2020-08-30,53
2020-09-06,46
2020-09-13,46
2020-09-20,48
2020-09-27,52
2020-10-04,60
2020-10-11,46
2020-10-18,53
2020-10-25,73
2020-11-01,67
2020-11-08,96
2020-11-15,100
2020-11-22,81
2020-11-29,82
2020-12-06,85
2020-12-13,82
2020-12-20,82
2020-12-27,75
2021-01-03,71
2021-01-10,75
2021-01-17,81
2021-01-24,86
2021-01-31,61
2021-02-07,58
2021-02-14,60
2021-02-21,60
