Category: All categories

Week,Covid: (Maryland)
2020-03-01,8
2020-03-08,32
2020-03-15,68
2020-03-22,84
2020-03-29,91
2020-04-05,82
2020-04-12,72
2020-04-19,64
2020-04-26,56
2020-05-03,55
2020-05-10,52
2020-05-17,51
2020-05-24,49
2020-05-31,40
2020-06-07,42
2020-06-14,42
2020-06-21,54
2020-06-28,63
2020-07-05,67
2020-07-12,73
2020-07-19,66
2020-07-26,78
2020-08-02,63
2020-08-09,60
2020-08-16,55
2020-08-23,47
2020-08-30,44
2020-09-06,44
2020-09-13,37
2020-09-20,39
2020-09-27,50
2020-10-04,51
2020-10-11,40
2020-10-18,44
2020-10-25,47
2020-11-01,43
2020-11-08,85
2020-11-15,100
2020-11-22,83
2020-11-29,79
2020-12-06,85
2020-12-13,76
2020-12-20,74
2020-12-27,84
2021-01-03,78
2021-01-10,88
2021-01-17,83
2021-01-24,97
2021-01-31,79
2021-02-07,77
2021-02-14,76
2021-02-21,79
