Category: All categories

Week,Covid: (Massachusetts)
2020-03-01,7
2020-03-08,32
2020-03-15,65
2020-03-22,71
2020-03-29,78
2020-04-05,78
2020-04-12,63
2020-04-19,62
2020-04-26,55
2020-05-03,53
2020-05-10,53
2020-05-17,50
2020-05-24,42
2020-05-31,36
2020-06-07,37
2020-06-14,41
2020-06-21,48
2020-06-28,55
2020-07-05,57
2020-07-12,59
2020-07-19,59
2020-07-26,69
2020-08-02,64
2020-08-09,61
2020-08-16,56
2020-08-23,51
2020-08-30,51
2020-09-06,49
2020-09-13,47
2020-09-20,44
2020-09-27,58
2020-10-04,61
2020-10-11,52
2020-10-18,57
2020-10-25,69
2020-11-01,56
2020-11-08,72
2020-11-15,90
2020-11-22,72
2020-11-29,77
2020-12-06,86
2020-12-13,81
2020-12-20,82
2020-12-27,86
2021-01-03,81
2021-01-10,76
2021-01-17,76
2021-01-24,88
2021-01-31,73
2021-02-07,65
2021-02-14,89
2021-02-21,100
