Category: All categories

Week,Covid: (Michigan)
2020-03-01,3
2020-03-08,28
2020-03-15,74
2020-03-22,98
2020-03-29,98
2020-04-05,86
2020-04-12,68
2020-04-19,61
2020-04-26,54
2020-05-03,54
2020-05-10,49
2020-05-17,46
2020-05-24,39
2020-05-31,33
2020-06-07,34
2020-06-14,36
2020-06-21,47
2020-06-28,62
2020-07-05,66
2020-07-12,69
2020-07-19,58
2020-07-26,63
2020-08-02,54
2020-08-09,50
2020-08-16,46
2020-08-23,41
2020-08-30,43
2020-09-06,38
2020-09-13,36
2020-09-20,36
2020-09-27,48
2020-10-04,50
2020-10-11,45
2020-10-18,49
2020-10-25,67
2020-11-01,55
2020-11-08,91
2020-11-15,100
2020-11-22,70
2020-11-29,64
2020-12-06,66
2020-12-13,67
2020-12-20,59
2020-12-27,57
2021-01-03,62
2021-01-10,63
2021-01-17,57
2021-01-24,60
2021-01-31,54
2021-02-07,51
2021-02-14,46
2021-02-21,48
