Category: All categories

Week,Covid: (Minnesota)
2020-03-01,5
2020-03-08,28
2020-03-15,78
2020-03-22,85
2020-03-29,74
2020-04-05,69
2020-04-12,52
2020-04-19,50
2020-04-26,49
2020-05-03,48
2020-05-10,45
2020-05-17,43
2020-05-24,36
2020-05-31,30
2020-06-07,29
2020-06-14,34
2020-06-21,38
2020-06-28,43
2020-07-05,48
2020-07-12,53
2020-07-19,51
2020-07-26,56
2020-08-02,44
2020-08-09,41
2020-08-16,41
2020-08-23,34
2020-08-30,39
2020-09-06,32
2020-09-13,34
2020-09-20,35
2020-09-27,43
2020-10-04,50
2020-10-11,42
2020-10-18,44
2020-10-25,54
2020-11-01,49
2020-11-08,88
2020-11-15,100
2020-11-22,65
2020-11-29,58
2020-12-06,58
2020-12-13,56
2020-12-20,49
2020-12-27,49
2021-01-03,44
2021-01-10,42
2021-01-17,44
2021-01-24,47
2021-01-31,43
2021-02-07,40
2021-02-14,42
2021-02-21,42
