Category: All categories

Week,Covid: (Mississippi)
2020-03-01,4
2020-03-08,21
2020-03-15,72
2020-03-22,83
2020-03-29,100
2020-04-05,77
2020-04-12,56
2020-04-19,50
2020-04-26,47
2020-05-03,49
2020-05-10,47
2020-05-17,41
2020-05-24,39
2020-05-31,35
2020-06-07,34
2020-06-14,42
2020-06-21,54
2020-06-28,68
2020-07-05,77
2020-07-12,86
2020-07-19,70
2020-07-26,68
2020-08-02,60
2020-08-09,52
2020-08-16,47
2020-08-23,39
2020-08-30,43
2020-09-06,30
2020-09-13,26
2020-09-20,24
2020-09-27,38
2020-10-04,35
2020-10-11,31
2020-10-18,38
2020-10-25,34
2020-11-01,33
2020-11-08,51
2020-11-15,58
2020-11-22,49
2020-11-29,59
2020-12-06,63
2020-12-13,73
2020-12-20,73
2020-12-27,73
2021-01-03,81
2021-01-10,80
2021-01-17,80
2021-01-24,84
2021-01-31,74
2021-02-07,66
2021-02-14,41
2021-02-21,52
