Category: All categories

Week,Covid: (Missouri)
2020-03-01,5
2020-03-08,25
2020-03-15,84
2020-03-22,100
2020-03-29,99
2020-04-05,82
2020-04-12,62
2020-04-19,57
2020-04-26,49
2020-05-03,46
2020-05-10,47
2020-05-17,43
2020-05-24,42
2020-05-31,35
2020-06-07,34
2020-06-14,41
2020-06-21,54
2020-06-28,63
2020-07-05,78
2020-07-12,80
2020-07-19,70
2020-07-26,73
2020-08-02,60
2020-08-09,52
2020-08-16,49
2020-08-23,48
2020-08-30,52
2020-09-06,43
2020-09-13,44
2020-09-20,44
2020-09-27,50
2020-10-04,51
2020-10-11,43
2020-10-18,45
2020-10-25,52
2020-11-01,52
2020-11-08,84
2020-11-15,95
2020-11-22,71
2020-11-29,65
2020-12-06,70
2020-12-13,70
2020-12-20,62
2020-12-27,60
2021-01-03,56
2021-01-10,61
2021-01-17,64
2021-01-24,64
2021-01-31,61
2021-02-07,55
2021-02-14,42
2021-02-21,55
