Category: All categories

Week,Covid: (Montana)
2020-03-01,5
2020-03-08,21
2020-03-15,70
2020-03-22,98
2020-03-29,100
2020-04-05,79
2020-04-12,60
2020-04-19,57
2020-04-26,41
2020-05-03,47
2020-05-10,47
2020-05-17,47
2020-05-24,39
2020-05-31,31
2020-06-07,37
2020-06-14,43
2020-06-21,66
2020-06-28,73
2020-07-05,83
2020-07-12,89
2020-07-19,72
2020-07-26,66
2020-08-02,57
2020-08-09,60
2020-08-16,52
2020-08-23,50
2020-08-30,49
2020-09-06,42
2020-09-13,43
2020-09-20,53
2020-09-27,72
2020-10-04,84
2020-10-11,79
2020-10-18,66
2020-10-25,70
2020-11-01,50
2020-11-08,73
2020-11-15,84
2020-11-22,59
2020-11-29,63
2020-12-06,62
2020-12-13,64
2020-12-20,47
2020-12-27,52
2021-01-03,49
2021-01-10,51
2021-01-17,48
2021-01-24,50
2021-01-31,49
2021-02-07,39
2021-02-14,41
2021-02-21,42
