Category: All categories

Week,Covid: (Nebraska)
2020-03-01,7
2020-03-08,33
2020-03-15,83
2020-03-22,86
2020-03-29,96
2020-04-05,90
2020-04-12,69
2020-04-19,63
2020-04-26,62
2020-05-03,64
2020-05-10,57
2020-05-17,59
2020-05-24,45
2020-05-31,37
2020-06-07,40
2020-06-14,41
2020-06-21,44
2020-06-28,55
2020-07-05,61
2020-07-12,78
2020-07-19,64
2020-07-26,64
2020-08-02,67
2020-08-09,60
2020-08-16,53
2020-08-23,50
2020-08-30,51
2020-09-06,42
2020-09-13,46
2020-09-20,48
2020-09-27,58
2020-10-04,62
2020-10-11,66
2020-10-18,59
2020-10-25,69
2020-11-01,66
2020-11-08,100
2020-11-15,99
2020-11-22,74
2020-11-29,71
2020-12-06,63
2020-12-13,66
2020-12-20,60
2020-12-27,57
2021-01-03,59
2021-01-10,56
2021-01-17,61
2021-01-24,50
2021-01-31,49
2021-02-07,45
2021-02-14,41
2021-02-21,46
