Category: All categories

Week,Covid: (Nevada)
2020-03-01,6
2020-03-08,23
2020-03-15,62
2020-03-22,73
2020-03-29,84
2020-04-05,81
2020-04-12,60
2020-04-19,54
2020-04-26,55
2020-05-03,52
2020-05-10,46
2020-05-17,45
2020-05-24,37
2020-05-31,30
2020-06-07,39
2020-06-14,46
2020-06-21,66
2020-06-28,81
2020-07-05,83
2020-07-12,86
2020-07-19,68
2020-07-26,68
2020-08-02,58
2020-08-09,48
2020-08-16,45
2020-08-23,36
2020-08-30,40
2020-09-06,35
2020-09-13,32
2020-09-20,31
2020-09-27,45
2020-10-04,45
2020-10-11,41
2020-10-18,44
2020-10-25,53
2020-11-01,43
2020-11-08,73
2020-11-15,100
2020-11-22,90
2020-11-29,81
2020-12-06,86
2020-12-13,86
2020-12-20,81
2020-12-27,81
2021-01-03,74
2021-01-10,87
2021-01-17,83
2021-01-24,70
2021-01-31,73
2021-02-07,61
2021-02-14,61
2021-02-21,64
