Category: All categories

Week,Covid: (New Hampshire)
2020-03-01,9
2020-03-08,36
2020-03-15,74
2020-03-22,97
2020-03-29,92
2020-04-05,77
2020-04-12,60
2020-04-19,56
2020-04-26,57
2020-05-03,59
2020-05-10,50
2020-05-17,50
2020-05-24,44
2020-05-31,40
2020-06-07,41
2020-06-14,36
2020-06-21,48
2020-06-28,50
2020-07-05,51
2020-07-12,59
2020-07-19,58
2020-07-26,57
2020-08-02,54
2020-08-09,59
2020-08-16,50
2020-08-23,46
2020-08-30,50
2020-09-06,44
2020-09-13,42
2020-09-20,38
2020-09-27,49
2020-10-04,61
2020-10-11,55
2020-10-18,58
2020-10-25,65
2020-11-01,53
2020-11-08,75
2020-11-15,100
2020-11-22,80
2020-11-29,79
2020-12-06,90
2020-12-13,80
2020-12-20,73
2020-12-27,78
2021-01-03,70
2021-01-10,69
2021-01-17,75
2021-01-24,75
2021-01-31,58
2021-02-07,59
2021-02-14,56
2021-02-21,65
