Category: All categories

Week,Covid: (New Jersey)
2020-03-01,5
2020-03-08,23
2020-03-15,56
2020-03-22,70
2020-03-29,76
2020-04-05,69
2020-04-12,60
2020-04-19,52
2020-04-26,50
2020-05-03,46
2020-05-10,46
2020-05-17,43
2020-05-24,38
2020-05-31,32
2020-06-07,35
2020-06-14,37
2020-06-21,45
2020-06-28,52
2020-07-05,52
2020-07-12,56
2020-07-19,48
2020-07-26,56
2020-08-02,46
2020-08-09,46
2020-08-16,42
2020-08-23,37
2020-08-30,36
2020-09-06,35
2020-09-13,32
2020-09-20,34
2020-09-27,48
2020-10-04,51
2020-10-11,42
2020-10-18,48
2020-10-25,53
2020-11-01,44
2020-11-08,73
2020-11-15,93
2020-11-22,72
2020-11-29,68
2020-12-06,73
2020-12-13,65
2020-12-20,69
2020-12-27,76
2021-01-03,80
2021-01-10,100
2021-01-17,90
2021-01-24,85
2021-01-31,70
2021-02-07,87
2021-02-14,77
2021-02-21,84
