Category: All categories

Week,Covid: (New Mexico)
2020-03-01,4
2020-03-08,18
2020-03-15,59
2020-03-22,74
2020-03-29,74
2020-04-05,65
2020-04-12,52
2020-04-19,48
2020-04-26,46
2020-05-03,44
2020-05-10,47
2020-05-17,42
2020-05-24,38
2020-05-31,31
2020-06-07,34
2020-06-14,34
2020-06-21,42
2020-06-28,58
2020-07-05,65
2020-07-12,65
2020-07-19,55
2020-07-26,44
2020-08-02,43
2020-08-09,35
2020-08-16,33
2020-08-23,30
2020-08-30,29
2020-09-06,28
2020-09-13,23
2020-09-20,27
2020-09-27,39
2020-10-04,42
2020-10-11,52
2020-10-18,59
2020-10-25,56
2020-11-01,49
2020-11-08,78
2020-11-15,100
2020-11-22,69
2020-11-29,72
2020-12-06,67
2020-12-13,65
2020-12-20,59
2020-12-27,61
2021-01-03,60
2021-01-10,57
2021-01-17,51
2021-01-24,53
2021-01-31,50
2021-02-07,49
2021-02-14,35
2021-02-21,48
