Category: All categories

Week,Covid: (New York)
2020-03-01,6
2020-03-08,23
2020-03-15,54
2020-03-22,66
2020-03-29,69
2020-04-05,63
2020-04-12,53
2020-04-19,51
2020-04-26,46
2020-05-03,42
2020-05-10,44
2020-05-17,43
2020-05-24,37
2020-05-31,27
2020-06-07,30
2020-06-14,34
2020-06-21,41
2020-06-28,45
2020-07-05,46
2020-07-12,50
2020-07-19,47
2020-07-26,49
2020-08-02,44
2020-08-09,39
2020-08-16,39
2020-08-23,37
2020-08-30,38
2020-09-06,35
2020-09-13,36
2020-09-20,36
2020-09-27,50
2020-10-04,53
2020-10-11,40
2020-10-18,40
2020-10-25,43
2020-11-01,36
2020-11-08,66
2020-11-15,85
2020-11-22,68
2020-11-29,66
2020-12-06,70
2020-12-13,63
2020-12-20,70
2020-12-27,75
2021-01-03,74
2021-01-10,100
2021-01-17,82
2021-01-24,73
2021-01-31,68
2021-02-07,77
2021-02-14,78
2021-02-21,73
