Category: All categories

Week,Covid: (North Dakota)
2020-03-01,3
2020-03-08,23
2020-03-15,79
2020-03-22,100
2020-03-29,99
2020-04-05,82
2020-04-12,67
2020-04-19,61
2020-04-26,52
2020-05-03,46
2020-05-10,42
2020-05-17,46
2020-05-24,39
2020-05-31,28
2020-06-07,31
2020-06-14,25
2020-06-21,42
2020-06-28,41
2020-07-05,53
2020-07-12,68
2020-07-19,60
2020-07-26,68
2020-08-02,56
2020-08-09,48
2020-08-16,45
2020-08-23,57
2020-08-30,60
2020-09-06,50
2020-09-13,48
2020-09-20,61
2020-09-27,65
2020-10-04,64
2020-10-11,70
2020-10-18,81
2020-10-25,85
2020-11-01,59
2020-11-08,84
2020-11-15,98
2020-11-22,66
2020-11-29,61
2020-12-06,61
2020-12-13,62
2020-12-20,60
2020-12-27,52
2021-01-03,51
2021-01-10,47
2021-01-17,43
2021-01-24,44
2021-01-31,44
2021-02-07,44
2021-02-14,38
2021-02-21,41
