Category: All categories

Week,Covid: (Ohio)
2020-03-01,3
2020-03-08,23
2020-03-15,61
2020-03-22,69
2020-03-29,69
2020-04-05,60
2020-04-12,50
2020-04-19,47
2020-04-26,43
2020-05-03,42
2020-05-10,39
2020-05-17,35
2020-05-24,33
2020-05-31,28
2020-06-07,27
2020-06-14,34
2020-06-21,47
2020-06-28,58
2020-07-05,63
2020-07-12,73
2020-07-19,61
2020-07-26,62
2020-08-02,56
2020-08-09,47
2020-08-16,41
2020-08-23,37
2020-08-30,39
2020-09-06,35
2020-09-13,31
2020-09-20,30
2020-09-27,41
2020-10-04,43
2020-10-11,43
2020-10-18,46
2020-10-25,53
2020-11-01,43
2020-11-08,83
2020-11-15,100
2020-11-22,79
2020-11-29,71
2020-12-06,73
2020-12-13,66
2020-12-20,61
2020-12-27,64
2021-01-03,63
2021-01-10,64
2021-01-17,60
2021-01-24,63
2021-01-31,65
2021-02-07,64
2021-02-14,47
2021-02-21,49
