Category: All categories

Week,Covid: (Oklahoma)
2020-03-01,3
2020-03-08,21
2020-03-15,72
2020-03-22,100
2020-03-29,99
2020-04-05,77
2020-04-12,58
2020-04-19,49
2020-04-26,44
2020-05-03,42
2020-05-10,42
2020-05-17,37
2020-05-24,35
2020-05-31,29
2020-06-07,34
2020-06-14,51
2020-06-21,64
2020-06-28,74
2020-07-05,77
2020-07-12,81
2020-07-19,65
2020-07-26,60
2020-08-02,54
2020-08-09,49
2020-08-16,44
2020-08-23,40
2020-08-30,44
2020-09-06,36
2020-09-13,37
2020-09-20,38
2020-09-27,46
2020-10-04,47
2020-10-11,42
2020-10-18,44
2020-10-25,37
2020-11-01,40
2020-11-08,70
2020-11-15,90
2020-11-22,67
2020-11-29,68
2020-12-06,69
2020-12-13,71
2020-12-20,67
2020-12-27,76
2021-01-03,86
2021-01-10,72
2021-01-17,64
2021-01-24,60
2021-01-31,61
2021-02-07,45
2021-02-14,29
2021-02-21,46
