Category: All categories

Week,Covid: (Oregon)
2020-03-01,11
2020-03-08,38
2020-03-15,87
2020-03-22,100
2020-03-29,93
2020-04-05,76
2020-04-12,60
2020-04-19,51
2020-04-26,50
2020-05-03,52
2020-05-10,48
2020-05-17,44
2020-05-24,39
2020-05-31,34
2020-06-07,40
2020-06-14,47
2020-06-21,54
2020-06-28,66
2020-07-05,66
2020-07-12,70
2020-07-19,58
2020-07-26,57
2020-08-02,52
2020-08-09,45
2020-08-16,46
2020-08-23,36
2020-08-30,39
2020-09-06,24
2020-09-13,26
2020-09-20,36
2020-09-27,53
2020-10-04,54
2020-10-11,39
2020-10-18,42
2020-10-25,49
2020-11-01,39
2020-11-08,74
2020-11-15,87
2020-11-22,62
2020-11-29,75
2020-12-06,73
2020-12-13,74
2020-12-20,60
2020-12-27,64
2021-01-03,59
2021-01-10,69
2021-01-17,62
2021-01-24,65
2021-01-31,67
2021-02-07,55
2021-02-14,51
2021-02-21,72
