Category: All categories

Week,Covid: (Pennsylvania)
2020-03-01,5
2020-03-08,25
2020-03-15,65
2020-03-22,81
2020-03-29,78
2020-04-05,71
2020-04-12,56
2020-04-19,53
2020-04-26,48
2020-05-03,47
2020-05-10,44
2020-05-17,42
2020-05-24,38
2020-05-31,30
2020-06-07,33
2020-06-14,37
2020-06-21,46
2020-06-28,60
2020-07-05,62
2020-07-12,65
2020-07-19,55
2020-07-26,56
2020-08-02,46
2020-08-09,47
2020-08-16,40
2020-08-23,37
2020-08-30,40
2020-09-06,35
2020-09-13,33
2020-09-20,32
2020-09-27,45
2020-10-04,47
2020-10-11,39
2020-10-18,42
2020-10-25,44
2020-11-01,37
2020-11-08,69
2020-11-15,100
2020-11-22,78
2020-11-29,74
2020-12-06,92
2020-12-13,71
2020-12-20,68
2020-12-27,71
2021-01-03,65
2021-01-10,72
2021-01-17,80
2021-01-24,84
2021-01-31,77
2021-02-07,75
2021-02-14,67
2021-02-21,74
