Category: All categories

Week,Covid: (Rhode Island)
2020-03-01,5
2020-03-08,18
2020-03-15,55
2020-03-22,55
2020-03-29,65
2020-04-05,63
2020-04-12,53
2020-04-19,44
2020-04-26,44
2020-05-03,42
2020-05-10,36
2020-05-17,40
2020-05-24,36
2020-05-31,26
2020-06-07,25
2020-06-14,38
2020-06-21,42
2020-06-28,40
2020-07-05,46
2020-07-12,54
2020-07-19,46
2020-07-26,52
2020-08-02,67
2020-08-09,54
2020-08-16,47
2020-08-23,37
2020-08-30,42
2020-09-06,37
2020-09-13,38
2020-09-20,36
2020-09-27,49
2020-10-04,51
2020-10-11,44
2020-10-18,54
2020-10-25,67
2020-11-01,56
2020-11-08,71
2020-11-15,100
2020-11-22,70
2020-11-29,79
2020-12-06,78
2020-12-13,61
2020-12-20,76
2020-12-27,77
2021-01-03,64
2021-01-10,68
2021-01-17,61
2021-01-24,71
2021-01-31,58
2021-02-07,58
2021-02-14,62
2021-02-21,76
