Category: All categories

Week,Covid: (South Carolina)
2020-03-01,5
2020-03-08,19
2020-03-15,63
2020-03-22,74
2020-03-29,83
2020-04-05,75
2020-04-12,53
2020-04-19,48
2020-04-26,46
2020-05-03,42
2020-05-10,44
2020-05-17,40
2020-05-24,38
2020-05-31,33
2020-06-07,42
2020-06-14,59
2020-06-21,84
2020-06-28,83
2020-07-05,83
2020-07-12,85
2020-07-19,64
2020-07-26,65
2020-08-02,50
2020-08-09,48
2020-08-16,48
2020-08-23,43
2020-08-30,48
2020-09-06,40
2020-09-13,38
2020-09-20,34
2020-09-27,42
2020-10-04,44
2020-10-11,34
2020-10-18,39
2020-10-25,41
2020-11-01,30
2020-11-08,47
2020-11-15,66
2020-11-22,55
2020-11-29,60
2020-12-06,69
2020-12-13,78
2020-12-20,80
2020-12-27,91
2021-01-03,90
2021-01-10,100
2021-01-17,94
2021-01-24,84
2021-01-31,71
2021-02-07,70
2021-02-14,58
2021-02-21,55
