Category: All categories

Week,Covid: (South Dakota)
2020-03-01,3
2020-03-08,24
2020-03-15,65
2020-03-22,94
2020-03-29,100
2020-04-05,83
2020-04-12,79
2020-04-19,54
2020-04-26,52
2020-05-03,52
2020-05-10,46
2020-05-17,50
2020-05-24,44
2020-05-31,32
2020-06-07,29
2020-06-14,31
2020-06-21,36
2020-06-28,44
2020-07-05,45
2020-07-12,52
2020-07-19,52
2020-07-26,51
2020-08-02,44
2020-08-09,42
2020-08-16,41
2020-08-23,51
2020-08-30,65
2020-09-06,46
2020-09-13,45
2020-09-20,48
2020-09-27,60
2020-10-04,55
2020-10-11,60
2020-10-18,58
2020-10-25,69
2020-11-01,47
2020-11-08,75
2020-11-15,83
2020-11-22,59
2020-11-29,54
2020-12-06,55
2020-12-13,53
2020-12-20,54
2020-12-27,48
2021-01-03,47
2021-01-10,41
2021-01-17,38
2021-01-24,45
2021-01-31,35
2021-02-07,38
2021-02-14,29
2021-02-21,32
