Category: All categories

Week,Covid: (Tennessee)
2020-03-01,5
2020-03-08,23
2020-03-15,72
2020-03-22,94
2020-03-29,100
2020-04-05,81
2020-04-12,57
2020-04-19,55
2020-04-26,49
2020-05-03,48
2020-05-10,47
2020-05-17,41
2020-05-24,39
2020-05-31,33
2020-06-07,35
2020-06-14,42
2020-06-21,57
2020-06-28,72
2020-07-05,81
2020-07-12,82
2020-07-19,71
2020-07-26,66
2020-08-02,58
2020-08-09,55
2020-08-16,50
2020-08-23,41
2020-08-30,42
2020-09-06,38
2020-09-13,37
2020-09-20,33
2020-09-27,44
2020-10-04,45
2020-10-11,42
2020-10-18,45
2020-10-25,49
2020-11-01,41
2020-11-08,59
2020-11-15,82
2020-11-22,67
2020-11-29,71
2020-12-06,77
2020-12-13,88
2020-12-20,89
2020-12-27,83
2021-01-03,75
2021-01-10,66
2021-01-17,59
2021-01-24,61
2021-01-31,56
2021-02-07,49
2021-02-14,40
2021-02-21,54
