Category: All categories

Week,Covid: (Texas)
2020-03-01,5
2020-03-08,23
2020-03-15,65
2020-03-22,80
2020-03-29,82
2020-04-05,72
2020-04-12,56
2020-04-19,49
2020-04-26,48
2020-05-03,46
2020-05-10,43
2020-05-17,41
2020-05-24,35
2020-05-31,33
2020-06-07,41
2020-06-14,66
2020-06-21,97
2020-06-28,100
2020-07-05,92
2020-07-12,82
2020-07-19,68
2020-07-26,60
2020-08-02,51
2020-08-09,48
2020-08-16,38
2020-08-23,33
2020-08-30,36
2020-09-06,33
2020-09-13,30
2020-09-20,31
2020-09-27,41
2020-10-04,42
2020-10-11,39
2020-10-18,40
2020-10-25,46
2020-11-01,35
2020-11-08,60
2020-11-15,74
2020-11-22,58
2020-11-29,57
2020-12-06,63
2020-12-13,69
2020-12-20,74
2020-12-27,86
2021-01-03,85
2021-01-10,80
2021-01-17,72
2021-01-24,75
2021-01-31,71
2021-02-07,62
2021-02-14,30
2021-02-21,52
