Category: All categories

Week,Covid: (Utah)
2020-03-01,7
2020-03-08,31
2020-03-15,68
2020-03-22,89
2020-03-29,89
2020-04-05,78
2020-04-12,58
2020-04-19,50
2020-04-26,48
2020-05-03,47
2020-05-10,47
2020-05-17,41
2020-05-24,41
2020-05-31,39
2020-06-07,42
2020-06-14,47
2020-06-21,65
2020-06-28,64
2020-07-05,72
2020-07-12,78
2020-07-19,52
2020-07-26,58
2020-08-02,49
2020-08-09,47
2020-08-16,40
2020-08-23,38
2020-08-30,46
2020-09-06,34
2020-09-13,48
2020-09-20,60
2020-09-27,58
2020-10-04,68
2020-10-11,53
2020-10-18,60
2020-10-25,69
2020-11-01,58
2020-11-08,100
2020-11-15,93
2020-11-22,76
2020-11-29,69
2020-12-06,68
2020-12-13,68
2020-12-20,63
2020-12-27,72
2021-01-03,64
2021-01-10,67
2021-01-17,56
2021-01-24,56
2021-01-31,57
2021-02-07,50
2021-02-14,48
2021-02-21,51
