Category: All categories

Week,Covid: (Vermont)
2020-03-01,7
2020-03-08,26
2020-03-15,65
2020-03-22,76
2020-03-29,69
2020-04-05,60
2020-04-12,50
2020-04-19,38
2020-04-26,37
2020-05-03,36
2020-05-10,36
2020-05-17,35
2020-05-24,33
2020-05-31,33
2020-06-07,32
2020-06-14,34
2020-06-21,44
2020-06-28,46
2020-07-05,49
2020-07-12,58
2020-07-19,48
2020-07-26,52
2020-08-02,52
2020-08-09,52
2020-08-16,44
2020-08-23,45
2020-08-30,51
2020-09-06,36
2020-09-13,41
2020-09-20,41
2020-09-27,51
2020-10-04,52
2020-10-11,44
2020-10-18,46
2020-10-25,57
2020-11-01,44
2020-11-08,89
2020-11-15,100
2020-11-22,65
2020-11-29,63
2020-12-06,65
2020-12-13,54
2020-12-20,52
2020-12-27,55
2021-01-03,54
2021-01-10,54
2021-01-17,50
2021-01-24,60
2021-01-31,53
2021-02-07,50
2021-02-14,48
2021-02-21,52
