Category: All categories

Week,Covid: (Virginia)
2020-03-01,6
2020-03-08,34
2020-03-15,76
2020-03-22,94
2020-03-29,100
2020-04-05,85
2020-04-12,69
2020-04-19,64
2020-04-26,61
2020-05-03,58
2020-05-10,59
2020-05-17,54
2020-05-24,52
2020-05-31,43
2020-06-07,44
2020-06-14,47
2020-06-21,58
2020-06-28,66
2020-07-05,71
2020-07-12,82
2020-07-19,72
2020-07-26,78
2020-08-02,64
2020-08-09,60
2020-08-16,53
2020-08-23,52
2020-08-30,58
2020-09-06,48
2020-09-13,43
2020-09-20,42
2020-09-27,55
2020-10-04,57
2020-10-11,47
2020-10-18,45
2020-10-25,52
2020-11-01,40
2020-11-08,67
2020-11-15,95
2020-11-22,71
2020-11-29,72
2020-12-06,89
2020-12-13,86
2020-12-20,85
2020-12-27,88
2021-01-03,85
2021-01-10,94
2021-01-17,91
2021-01-24,85
2021-01-31,79
2021-02-07,75
2021-02-14,66
2021-02-21,71
