Category: All categories

Week,Covid: (West Virginia)
2020-03-01,5
2020-03-08,21
2020-03-15,67
2020-03-22,100
2020-03-29,90
2020-04-05,90
2020-04-12,62
2020-04-19,53
2020-04-26,45
2020-05-03,46
2020-05-10,46
2020-05-17,42
2020-05-24,40
2020-05-31,31
2020-06-07,31
2020-06-14,49
2020-06-21,57
2020-06-28,55
2020-07-05,77
2020-07-12,71
2020-07-19,61
2020-07-26,51
2020-08-02,55
2020-08-09,50
2020-08-16,45
2020-08-23,41
2020-08-30,54
2020-09-06,56
2020-09-13,50
2020-09-20,48
2020-09-27,55
2020-10-04,55
2020-10-11,53
2020-10-18,58
2020-10-25,54
2020-11-01,41
2020-11-08,80
2020-11-15,89
2020-11-22,73
2020-11-29,82
2020-12-06,94
2020-12-13,81
2020-12-20,78
2020-12-27,84
2021-01-03,77
2021-01-10,82
2021-01-17,76
2021-01-24,68
2021-01-31,56
2021-02-07,51
2021-02-14,42
2021-02-21,45
