Category: All categories

Week,Covid: (Wisconsin)
2020-03-01,4
2020-03-08,29
2020-03-15,87
2020-03-22,100
2020-03-29,95
2020-04-05,83
2020-04-12,68
2020-04-19,61
2020-04-26,56
2020-05-03,52
2020-05-10,55
2020-05-17,51
2020-05-24,48
2020-05-31,39
2020-06-07,39
2020-06-14,42
2020-06-21,54
2020-06-28,59
2020-07-05,69
2020-07-12,81
2020-07-19,70
2020-07-26,70
2020-08-02,68
2020-08-09,54
2020-08-16,52
2020-08-23,43
2020-08-30,47
2020-09-06,48
2020-09-13,57
2020-09-20,62
2020-09-27,77
2020-10-04,77
2020-10-11,68
2020-10-18,68
2020-10-25,81
2020-11-01,61
2020-11-08,94
2020-11-15,96
2020-11-22,67
2020-11-29,64
2020-12-06,66
2020-12-13,70
2020-12-20,65
2020-12-27,62
2021-01-03,60
2021-01-10,63
2021-01-17,64
2021-01-24,63
2021-01-31,54
2021-02-07,53
2021-02-14,50
2021-02-21,53
