Category: All categories

Week,Covid: (Wyoming)
2020-03-01,5
2020-03-08,23
2020-03-15,67
2020-03-22,86
2020-03-29,100
2020-04-05,73
2020-04-12,55
2020-04-19,51
2020-04-26,34
2020-05-03,42
2020-05-10,29
2020-05-17,40
2020-05-24,33
2020-05-31,31
2020-06-07,28
2020-06-14,33
2020-06-21,40
2020-06-28,48
2020-07-05,47
2020-07-12,51
2020-07-19,42
2020-07-26,43
2020-08-02,40
2020-08-09,41
2020-08-16,35
2020-08-23,32
2020-08-30,29
2020-09-06,27
2020-09-13,31
2020-09-20,30
2020-09-27,44
2020-10-04,52
2020-10-11,40
2020-10-18,43
2020-10-25,45
2020-11-01,47
2020-11-08,66
2020-11-15,86
2020-11-22,65
2020-11-29,53
2020-12-06,53
2020-12-13,49
2020-12-20,40
2020-12-27,50
2021-01-03,45
2021-01-10,42
2021-01-17,39
2021-01-24,38
2021-01-31,37
2021-02-07,30
2021-02-14,30
2021-02-21,32
