Category: All categories

Week,Online dating application: (Alabama)
2020-03-01,41
2020-03-08,43
2020-03-15,51
2020-03-22,42
2020-03-29,33
2020-04-05,41
2020-04-12,23
2020-04-19,45
2020-04-26,47
2020-05-03,8
2020-05-10,33
2020-05-17,41
2020-05-24,41
2020-05-31,32
2020-06-07,24
2020-06-14,42
2020-06-21,58
2020-06-28,61
2020-07-05,53
2020-07-12,61
2020-07-19,35
2020-07-26,26
2020-08-02,35
2020-08-09,17
2020-08-16,50
2020-08-23,32
2020-08-30,56
2020-09-06,74
2020-09-13,33
2020-09-20,17
2020-09-27,35
2020-10-04,26
2020-10-11,66
2020-10-18,68
2020-10-25,29
2020-11-01,0
2020-11-08,18
2020-11-15,56
2020-11-22,29
2020-11-29,9
2020-12-06,27
2020-12-13,28
2020-12-20,39
2020-12-27,100
2021-01-03,35
2021-01-10,44
2021-01-17,71
2021-01-24,9
2021-01-31,36
2021-02-07,72
2021-02-14,36
2021-02-21,27
2021-02-28,0
