Category: All categories

Week,Online dating application: (Arkansas)
2020-03-01,76
2020-03-08,25
2020-03-15,0
2020-03-22,25
2020-03-29,60
2020-04-05,24
2020-04-12,23
2020-04-19,34
2020-04-26,12
2020-05-03,0
2020-05-10,0
2020-05-17,49
2020-05-24,37
2020-05-31,12
2020-06-07,100
2020-06-14,51
2020-06-21,26
2020-06-28,39
2020-07-05,27
2020-07-12,0
2020-07-19,27
2020-07-26,27
2020-08-02,14
2020-08-09,13
2020-08-16,0
2020-08-23,0
2020-08-30,12
2020-09-06,13
2020-09-13,12
2020-09-20,37
2020-09-27,40
2020-10-04,40
2020-10-11,30
2020-10-18,29
2020-10-25,60
2020-11-01,63
2020-11-08,0
2020-11-15,44
2020-11-22,30
2020-11-29,69
2020-12-06,70
2020-12-13,100
2020-12-20,0
2020-12-27,28
2021-01-03,14
2021-01-10,14
2021-01-17,69
2021-01-24,55
2021-01-31,28
2021-02-07,41
2021-02-14,42
2021-02-21,42
2021-02-28,0
