Category: All categories

Week,Online dating application: (Connecticut)
2020-03-01,6
2020-03-08,31
2020-03-15,12
2020-03-22,45
2020-03-29,27
2020-04-05,16
2020-04-12,33
2020-04-19,37
2020-04-26,27
2020-05-03,5
2020-05-10,50
2020-05-17,22
2020-05-24,23
2020-05-31,5
2020-06-07,39
2020-06-14,6
2020-06-21,18
2020-06-28,36
2020-07-05,6
2020-07-12,25
2020-07-19,24
2020-07-26,25
2020-08-02,27
2020-08-09,32
2020-08-16,45
2020-08-23,31
2020-08-30,42
2020-09-06,54
2020-09-13,12
2020-09-20,23
2020-09-27,25
2020-10-04,26
2020-10-11,14
2020-10-18,21
2020-10-25,35
2020-11-01,18
2020-11-08,60
2020-11-15,20
2020-11-22,48
2020-11-29,66
2020-12-06,40
2020-12-13,34
2020-12-20,28
2020-12-27,34
2021-01-03,58
2021-01-10,20
2021-01-17,40
2021-01-24,33
2021-01-31,7
2021-02-07,40
2021-02-14,54
2021-02-21,67
2021-02-28,100
