Category: All categories

Week,Online dating application: (District of Columbia)
2020-03-01,0
2020-03-08,17
2020-03-15,39
2020-03-22,21
2020-03-29,21
2020-04-05,21
2020-04-12,84
2020-04-19,21
2020-04-26,21
2020-05-03,21
2020-05-10,22
2020-05-17,65
2020-05-24,69
2020-05-31,64
2020-06-07,44
2020-06-14,23
2020-06-21,0
2020-06-28,50
2020-07-05,73
2020-07-12,47
2020-07-19,47
2020-07-26,71
2020-08-02,0
2020-08-09,24
2020-08-16,23
2020-08-23,45
2020-08-30,23
2020-09-06,71
2020-09-13,67
2020-09-20,23
2020-09-27,23
2020-10-04,100
2020-10-11,28
2020-10-18,28
2020-10-25,0
2020-11-01,0
2020-11-08,26
2020-11-15,27
2020-11-22,0
2020-11-29,26
2020-12-06,27
2020-12-13,56
2020-12-20,0
2020-12-27,34
2021-01-03,56
2021-01-10,28
2021-01-17,29
2021-01-24,54
2021-01-31,55
2021-02-07,0
2021-02-14,28
2021-02-21,56
2021-02-28,0
