Category: All categories

Week,Online dating application: (Florida)
2020-03-01,78
2020-03-08,78
2020-03-15,64
2020-03-22,83
2020-03-29,55
2020-04-05,66
2020-04-12,86
2020-04-19,66
2020-04-26,77
2020-05-03,59
2020-05-10,47
2020-05-17,46
2020-05-24,88
2020-05-31,65
2020-06-07,100
2020-06-14,67
2020-06-21,88
2020-06-28,87
2020-07-05,71
2020-07-12,74
2020-07-19,73
2020-07-26,70
2020-08-02,87
2020-08-09,62
2020-08-16,50
2020-08-23,77
2020-08-30,55
2020-09-06,81
2020-09-13,87
2020-09-20,67
2020-09-27,54
2020-10-04,52
2020-10-11,63
2020-10-18,63
2020-10-25,55
2020-11-01,57
2020-11-08,62
2020-11-15,47
2020-11-22,59
2020-11-29,70
2020-12-06,54
2020-12-13,73
2020-12-20,27
2020-12-27,70
2021-01-03,63
2021-01-10,76
2021-01-17,57
2021-01-24,67
2021-01-31,55
2021-02-07,58
2021-02-14,72
2021-02-21,42
2021-02-28,97
