Category: All categories

Week,Online dating application: (Iowa)
2020-03-01,33
2020-03-08,22
2020-03-15,35
2020-03-22,21
2020-03-29,32
2020-04-05,33
2020-04-12,31
2020-04-19,71
2020-04-26,20
2020-05-03,30
2020-05-10,10
2020-05-17,52
2020-05-24,32
2020-05-31,32
2020-06-07,53
2020-06-14,55
2020-06-21,34
2020-06-28,48
2020-07-05,11
2020-07-12,35
2020-07-19,23
2020-07-26,48
2020-08-02,12
2020-08-09,0
2020-08-16,48
2020-08-23,54
2020-08-30,33
2020-09-06,0
2020-09-13,42
2020-09-20,0
2020-09-27,58
2020-10-04,36
2020-10-11,53
2020-10-18,51
2020-10-25,38
2020-11-01,0
2020-11-08,24
2020-11-15,25
2020-11-22,25
2020-11-29,25
2020-12-06,0
2020-12-13,25
2020-12-20,27
2020-12-27,100
2021-01-03,24
2021-01-10,61
2021-01-17,36
2021-01-24,36
2021-01-31,48
2021-02-07,24
2021-02-14,36
2021-02-21,49
2021-02-28,0
