Category: All categories

Week,Online dating application: (Kansas)
2020-03-01,36
2020-03-08,24
2020-03-15,12
2020-03-22,45
2020-03-29,32
2020-04-05,11
2020-04-12,10
2020-04-19,21
2020-04-26,43
2020-05-03,11
2020-05-10,22
2020-05-17,23
2020-05-24,36
2020-05-31,24
2020-06-07,71
2020-06-14,36
2020-06-21,25
2020-06-28,38
2020-07-05,24
2020-07-12,25
2020-07-19,26
2020-07-26,52
2020-08-02,52
2020-08-09,38
2020-08-16,51
2020-08-23,49
2020-08-30,85
2020-09-06,36
2020-09-13,24
2020-09-20,36
2020-09-27,51
2020-10-04,0
2020-10-11,42
2020-10-18,42
2020-10-25,70
2020-11-01,34
2020-11-08,26
2020-11-15,79
2020-11-22,53
2020-11-29,63
2020-12-06,26
2020-12-13,66
2020-12-20,14
2020-12-27,41
2021-01-03,26
2021-01-10,26
2021-01-17,26
2021-01-24,39
2021-01-31,0
2021-02-07,39
2021-02-14,39
2021-02-21,66
2021-02-28,100
