Category: All categories

Week,Online dating application: (Kentucky)
2020-03-01,0
2020-03-08,29
2020-03-15,29
2020-03-22,28
2020-03-29,11
2020-04-05,17
2020-04-12,32
2020-04-19,37
2020-04-26,11
2020-05-03,27
2020-05-10,39
2020-05-17,28
2020-05-24,42
2020-05-31,6
2020-06-07,12
2020-06-14,18
2020-06-21,12
2020-06-28,57
2020-07-05,32
2020-07-12,13
2020-07-19,38
2020-07-26,38
2020-08-02,0
2020-08-09,13
2020-08-16,31
2020-08-23,17
2020-08-30,22
2020-09-06,30
2020-09-13,18
2020-09-20,24
2020-09-27,13
2020-10-04,33
2020-10-11,7
2020-10-18,50
2020-10-25,14
2020-11-01,18
2020-11-08,27
2020-11-15,42
2020-11-22,28
2020-11-29,33
2020-12-06,27
2020-12-13,0
2020-12-20,23
2020-12-27,49
2021-01-03,7
2021-01-10,26
2021-01-17,33
2021-01-24,33
2021-01-31,33
2021-02-07,47
2021-02-14,20
2021-02-21,34
2021-02-28,100
