Category: All categories

Week,Online dating application: (Louisiana)
2020-03-01,49
2020-03-08,60
2020-03-15,20
2020-03-22,59
2020-03-29,29
2020-04-05,49
2020-04-12,29
2020-04-19,0
2020-04-26,19
2020-05-03,38
2020-05-10,29
2020-05-17,29
2020-05-24,50
2020-05-31,19
2020-06-07,58
2020-06-14,50
2020-06-21,40
2020-06-28,42
2020-07-05,63
2020-07-12,31
2020-07-19,52
2020-07-26,42
2020-08-02,53
2020-08-09,41
2020-08-16,20
2020-08-23,51
2020-08-30,31
2020-09-06,62
2020-09-13,19
2020-09-20,49
2020-09-27,0
2020-10-04,54
2020-10-11,59
2020-10-18,46
2020-10-25,60
2020-11-01,20
2020-11-08,33
2020-11-15,92
2020-11-22,94
2020-11-29,11
2020-12-06,45
2020-12-13,35
2020-12-20,37
2020-12-27,70
2021-01-03,76
2021-01-10,32
2021-01-17,76
2021-01-24,22
2021-01-31,78
2021-02-07,100
2021-02-14,46
2021-02-21,22
2021-02-28,0
