Category: All categories

Week,Online dating application: (Massachusetts)
2020-03-01,43
2020-03-08,55
2020-03-15,77
2020-03-22,26
2020-03-29,47
2020-04-05,18
2020-04-12,35
2020-04-19,43
2020-04-26,39
2020-05-03,32
2020-05-10,18
2020-05-17,33
2020-05-24,57
2020-05-31,47
2020-06-07,26
2020-06-14,47
2020-06-21,52
2020-06-28,68
2020-07-05,49
2020-07-12,33
2020-07-19,68
2020-07-26,25
2020-08-02,24
2020-08-09,20
2020-08-16,37
2020-08-23,44
2020-08-30,52
2020-09-06,45
2020-09-13,30
2020-09-20,42
2020-09-27,61
2020-10-04,26
2020-10-11,52
2020-10-18,61
2020-10-25,19
2020-11-01,20
2020-11-08,86
2020-11-15,77
2020-11-22,47
2020-11-29,13
2020-12-06,36
2020-12-13,42
2020-12-20,20
2020-12-27,62
2021-01-03,45
2021-01-10,46
2021-01-17,31
2021-01-24,36
2021-01-31,59
2021-02-07,45
2021-02-14,61
2021-02-21,53
2021-02-28,100
