Category: All categories

Week,Online dating application: (Minnesota)
2020-03-01,40
2020-03-08,54
2020-03-15,32
2020-03-22,57
2020-03-29,36
2020-04-05,72
2020-04-12,29
2020-04-19,29
2020-04-26,6
2020-05-03,30
2020-05-10,37
2020-05-17,50
2020-05-24,51
2020-05-31,38
2020-06-07,45
2020-06-14,40
2020-06-21,41
2020-06-28,35
2020-07-05,82
2020-07-12,21
2020-07-19,63
2020-07-26,63
2020-08-02,35
2020-08-09,55
2020-08-16,49
2020-08-23,34
2020-08-30,77
2020-09-06,21
2020-09-13,33
2020-09-20,20
2020-09-27,35
2020-10-04,59
2020-10-11,56
2020-10-18,63
2020-10-25,46
2020-11-01,33
2020-11-08,44
2020-11-15,52
2020-11-22,69
2020-11-29,22
2020-12-06,29
2020-12-13,52
2020-12-20,32
2020-12-27,48
2021-01-03,45
2021-01-10,60
2021-01-17,37
2021-01-24,15
2021-01-31,23
2021-02-07,68
2021-02-14,100
2021-02-21,62
2021-02-28,58
