Category: All categories

Week,Online dating application: (Nebraska)
2020-03-01,46
2020-03-08,12
2020-03-15,23
2020-03-22,22
2020-03-29,11
2020-04-05,34
2020-04-12,11
2020-04-19,0
2020-04-26,0
2020-05-03,32
2020-05-10,11
2020-05-17,58
2020-05-24,36
2020-05-31,12
2020-06-07,48
2020-06-14,12
2020-06-21,13
2020-06-28,0
2020-07-05,26
2020-07-12,13
2020-07-19,64
2020-07-26,13
2020-08-02,0
2020-08-09,37
2020-08-16,24
2020-08-23,23
2020-08-30,0
2020-09-06,24
2020-09-13,24
2020-09-20,12
2020-09-27,13
2020-10-04,0
2020-10-11,28
2020-10-18,28
2020-10-25,28
2020-11-01,23
2020-11-08,26
2020-11-15,27
2020-11-22,14
2020-11-29,13
2020-12-06,53
2020-12-13,27
2020-12-20,0
2020-12-27,55
2021-01-03,39
2021-01-10,13
2021-01-17,0
2021-01-24,40
2021-01-31,27
2021-02-07,0
2021-02-14,27
2021-02-21,41
2021-02-28,100
