Category: All categories

Week,Online dating application: (New Mexico)
2020-03-01,29
2020-03-08,28
2020-03-15,29
2020-03-22,0
2020-03-29,28
2020-04-05,0
2020-04-12,27
2020-04-19,40
2020-04-26,14
2020-05-03,55
2020-05-10,55
2020-05-17,14
2020-05-24,44
2020-05-31,14
2020-06-07,14
2020-06-14,100
2020-06-21,0
2020-06-28,29
2020-07-05,29
2020-07-12,30
2020-07-19,45
2020-07-26,60
2020-08-02,15
2020-08-09,15
2020-08-16,56
2020-08-23,28
2020-08-30,14
2020-09-06,14
2020-09-13,14
2020-09-20,43
2020-09-27,15
2020-10-04,0
2020-10-11,16
2020-10-18,33
2020-10-25,16
2020-11-01,27
2020-11-08,31
2020-11-15,33
2020-11-22,35
2020-11-29,16
2020-12-06,17
2020-12-13,68
2020-12-20,18
2020-12-27,0
2021-01-03,16
2021-01-10,0
2021-01-17,49
2021-01-24,16
2021-01-31,50
2021-02-07,17
2021-02-14,33
2021-02-21,0
2021-02-28,0
