Category: All categories

Week,Online dating application: (New York)
2020-03-01,52
2020-03-08,90
2020-03-15,58
2020-03-22,84
2020-03-29,71
2020-04-05,66
2020-04-12,61
2020-04-19,78
2020-04-26,65
2020-05-03,74
2020-05-10,50
2020-05-17,59
2020-05-24,55
2020-05-31,50
2020-06-07,70
2020-06-14,84
2020-06-21,71
2020-06-28,64
2020-07-05,82
2020-07-12,71
2020-07-19,69
2020-07-26,65
2020-08-02,62
2020-08-09,100
2020-08-16,68
2020-08-23,72
2020-08-30,66
2020-09-06,70
2020-09-13,71
2020-09-20,95
2020-09-27,85
2020-10-04,68
2020-10-11,81
2020-10-18,68
2020-10-25,66
2020-11-01,62
2020-11-08,62
2020-11-15,73
2020-11-22,73
2020-11-29,69
2020-12-06,67
2020-12-13,63
2020-12-20,55
2020-12-27,83
2021-01-03,81
2021-01-10,61
2021-01-17,69
2021-01-24,76
2021-01-31,98
2021-02-07,55
2021-02-14,66
2021-02-21,59
2021-02-28,60
