Category: All categories

Week,Online dating application: (North Carolina)
2020-03-01,41
2020-03-08,47
2020-03-15,38
2020-03-22,61
2020-03-29,31
2020-04-05,54
2020-04-12,65
2020-04-19,68
2020-04-26,33
2020-05-03,56
2020-05-10,99
2020-05-17,61
2020-05-24,62
2020-05-31,49
2020-06-07,80
2020-06-14,50
2020-06-21,61
2020-06-28,58
2020-07-05,38
2020-07-12,58
2020-07-19,96
2020-07-26,68
2020-08-02,67
2020-08-09,48
2020-08-16,57
2020-08-23,34
2020-08-30,65
2020-09-06,71
2020-09-13,68
2020-09-20,49
2020-09-27,52
2020-10-04,53
2020-10-11,75
2020-10-18,27
2020-10-25,64
2020-11-01,61
2020-11-08,72
2020-11-15,74
2020-11-22,71
2020-11-29,46
2020-12-06,62
2020-12-13,58
2020-12-20,45
2020-12-27,100
2021-01-03,99
2021-01-10,46
2021-01-17,93
2021-01-24,90
2021-01-31,71
2021-02-07,86
2021-02-14,61
2021-02-21,83
2021-02-28,79
