Category: All categories

Week,Online dating application: (North Dakota)
2020-03-01,30
2020-03-08,0
2020-03-15,59
2020-03-22,0
2020-03-29,0
2020-04-05,79
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,28
2020-05-17,30
2020-05-24,32
2020-05-31,0
2020-06-07,60
2020-06-14,31
2020-06-21,0
2020-06-28,0
2020-07-05,33
2020-07-12,33
2020-07-19,0
2020-07-26,68
2020-08-02,100
2020-08-09,33
2020-08-16,33
2020-08-23,0
2020-08-30,60
2020-09-06,0
2020-09-13,29
2020-09-20,0
2020-09-27,0
2020-10-04,32
2020-10-11,33
2020-10-18,33
2020-10-25,65
2020-11-01,27
2020-11-08,0
2020-11-15,0
2020-11-22,33
2020-11-29,31
2020-12-06,32
2020-12-13,64
2020-12-20,0
2020-12-27,70
2021-01-03,32
2021-01-10,32
2021-01-17,32
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,66
2021-02-21,0
2021-02-28,0
