Category: All categories

Week,Online dating application: (Ohio)
2020-03-01,60
2020-03-08,37
2020-03-15,67
2020-03-22,45
2020-03-29,25
2020-04-05,39
2020-04-12,39
2020-04-19,57
2020-04-26,58
2020-05-03,42
2020-05-10,50
2020-05-17,58
2020-05-24,31
2020-05-31,82
2020-06-07,61
2020-06-14,39
2020-06-21,75
2020-06-28,54
2020-07-05,82
2020-07-12,26
2020-07-19,91
2020-07-26,47
2020-08-02,68
2020-08-09,37
2020-08-16,42
2020-08-23,39
2020-08-30,48
2020-09-06,39
2020-09-13,49
2020-09-20,42
2020-09-27,83
2020-10-04,64
2020-10-11,60
2020-10-18,50
2020-10-25,45
2020-11-01,46
2020-11-08,60
2020-11-15,53
2020-11-22,100
2020-11-29,59
2020-12-06,68
2020-12-13,52
2020-12-20,61
2020-12-27,70
2021-01-03,46
2021-01-10,59
2021-01-17,46
2021-01-24,68
2021-01-31,72
2021-02-07,51
2021-02-14,64
2021-02-21,72
2021-02-28,64
