Category: All categories

Week,Online dating application: (Oklahoma)
2020-03-01,44
2020-03-08,11
2020-03-15,45
2020-03-22,42
2020-03-29,52
2020-04-05,81
2020-04-12,39
2020-04-19,30
2020-04-26,31
2020-05-03,31
2020-05-10,42
2020-05-17,44
2020-05-24,44
2020-05-31,65
2020-06-07,11
2020-06-14,33
2020-06-21,68
2020-06-28,46
2020-07-05,72
2020-07-12,47
2020-07-19,71
2020-07-26,35
2020-08-02,12
2020-08-09,24
2020-08-16,34
2020-08-23,22
2020-08-30,32
2020-09-06,11
2020-09-13,11
2020-09-20,33
2020-09-27,94
2020-10-04,47
2020-10-11,52
2020-10-18,52
2020-10-25,52
2020-11-01,43
2020-11-08,12
2020-11-15,75
2020-11-22,77
2020-11-29,12
2020-12-06,25
2020-12-13,13
2020-12-20,54
2020-12-27,100
2021-01-03,59
2021-01-10,97
2021-01-17,37
2021-01-24,36
2021-01-31,12
2021-02-07,36
2021-02-14,12
2021-02-21,12
2021-02-28,0
