Category: All categories

Week,Online dating application: (Oregon)
2020-03-01,48
2020-03-08,49
2020-03-15,67
2020-03-22,47
2020-03-29,54
2020-04-05,37
2020-04-12,45
2020-04-19,53
2020-04-26,79
2020-05-03,54
2020-05-10,45
2020-05-17,90
2020-05-24,64
2020-05-31,79
2020-06-07,53
2020-06-14,75
2020-06-21,38
2020-06-28,70
2020-07-05,20
2020-07-12,40
2020-07-19,61
2020-07-26,50
2020-08-02,70
2020-08-09,40
2020-08-16,59
2020-08-23,70
2020-08-30,100
2020-09-06,18
2020-09-13,71
2020-09-20,66
2020-09-27,21
2020-10-04,32
2020-10-11,81
2020-10-18,58
2020-10-25,47
2020-11-01,37
2020-11-08,44
2020-11-15,89
2020-11-22,23
2020-11-29,44
2020-12-06,34
2020-12-13,79
2020-12-20,60
2020-12-27,90
2021-01-03,64
2021-01-10,66
2021-01-17,89
2021-01-24,55
2021-01-31,66
2021-02-07,77
2021-02-14,57
2021-02-21,11
2021-02-28,0
