Category: All categories

Week,Online dating application: (Rhode Island)
2020-03-01,26
2020-03-08,27
2020-03-15,0
2020-03-22,49
2020-03-29,0
2020-04-05,75
2020-04-12,23
2020-04-19,48
2020-04-26,71
2020-05-03,23
2020-05-10,24
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,98
2020-06-14,26
2020-06-21,53
2020-06-28,53
2020-07-05,0
2020-07-12,27
2020-07-19,54
2020-07-26,27
2020-08-02,82
2020-08-09,0
2020-08-16,0
2020-08-23,79
2020-08-30,80
2020-09-06,78
2020-09-13,100
2020-09-20,0
2020-09-27,79
2020-10-04,84
2020-10-11,31
2020-10-18,0
2020-10-25,30
2020-11-01,25
2020-11-08,29
2020-11-15,32
2020-11-22,100
2020-11-29,32
2020-12-06,97
2020-12-13,68
2020-12-20,71
2020-12-27,0
2021-01-03,64
2021-01-10,32
2021-01-17,65
2021-01-24,0
2021-01-31,32
2021-02-07,64
2021-02-14,96
2021-02-21,0
2021-02-28,0
