Category: All categories

Week,Online dating application: (Texas)
2020-03-01,62
2020-03-08,52
2020-03-15,70
2020-03-22,59
2020-03-29,71
2020-04-05,80
2020-04-12,68
2020-04-19,65
2020-04-26,71
2020-05-03,56
2020-05-10,73
2020-05-17,70
2020-05-24,86
2020-05-31,64
2020-06-07,76
2020-06-14,79
2020-06-21,55
2020-06-28,93
2020-07-05,73
2020-07-12,77
2020-07-19,73
2020-07-26,75
2020-08-02,64
2020-08-09,70
2020-08-16,66
2020-08-23,65
2020-08-30,57
2020-09-06,73
2020-09-13,75
2020-09-20,72
2020-09-27,55
2020-10-04,72
2020-10-11,68
2020-10-18,81
2020-10-25,97
2020-11-01,68
2020-11-08,65
2020-11-15,70
2020-11-22,63
2020-11-29,81
2020-12-06,68
2020-12-13,88
2020-12-20,75
2020-12-27,100
2021-01-03,88
2021-01-10,65
2021-01-17,53
2021-01-24,72
2021-01-31,56
2021-02-07,64
2021-02-14,69
2021-02-21,89
2021-02-28,79
